neobank_atm_id,competitor_atm_id,bank_name,distance_km
ATM_SEEF_01,COMP_RED_01,Red Bank,3.5039
ATM_SEEF_01,COMP_RED_02,Red Bank,13.654
ATM_SEEF_01,COMP_RED_03,Red Bank,9.9755
ATM_SEEF_01,COMP_RED_04,Red Bank,22.5087
ATM_SEEF_01,COMP_RED_05,Red Bank,2.1107
ATM_SEEF_01,COMP_RED_06,Red Bank,8.2688
ATM_SEEF_01,COMP_RED_07,Red Bank,4.7693
ATM_SEEF_01,COMP_RED_08,Red Bank,18.7286
ATM_SEEF_01,COMP_RED_09,Red Bank,9.4024
ATM_SEEF_01,COMP_RED_10,Red Bank,11.3023
ATM_SEEF_01,COMP_RED_11,Red Bank,1.886
ATM_SEEF_01,COMP_RED_12,Red Bank,31.8806
ATM_SEEF_01,COMP_RED_13,Red Bank,4.0335
ATM_SEEF_01,COMP_RED_14,Red Bank,11.7608
ATM_SEEF_01,COMP_RED_15,Red Bank,2.6119
ATM_SEEF_01,COMP_RED_16,Red Bank,32.5165
ATM_SEEF_01,COMP_RED_17,Red Bank,8.4411
ATM_SEEF_01,COMP_RED_18,Red Bank,12.3805
ATM_SEEF_01,COMP_RED_19,Red Bank,6.4539
ATM_SEEF_01,COMP_RED_20,Red Bank,11.2683
ATM_SEEF_01,COMP_RED_21,Red Bank,6.2157
ATM_SEEF_01,COMP_RED_22,Red Bank,9.9846
ATM_SEEF_01,COMP_GOLD_01,Gold Bank,4.5259
ATM_SEEF_01,COMP_GOLD_02,Gold Bank,8.0451
ATM_SEEF_01,COMP_GOLD_03,Gold Bank,2.3595
ATM_SEEF_01,COMP_GOLD_04,Gold Bank,16.627
ATM_SEEF_01,COMP_GOLD_05,Gold Bank,4.5121
ATM_SEEF_01,COMP_GOLD_06,Gold Bank,8.9214
ATM_SEEF_01,COMP_GOLD_07,Gold Bank,10.3571
ATM_SEEF_01,COMP_GOLD_08,Gold Bank,25.8262
ATM_SEEF_01,COMP_GOLD_09,Gold Bank,3.0612
ATM_SEEF_01,COMP_GOLD_10,Gold Bank,13.9464
ATM_SEEF_01,COMP_GOLD_11,Gold Bank,7.2004
ATM_SEEF_01,COMP_GOLD_12,Gold Bank,27.575
ATM_SEEF_01,COMP_GOLD_13,Gold Bank,6.9276
ATM_SEEF_01,COMP_GOLD_14,Gold Bank,10.3266
ATM_SEEF_01,COMP_GOLD_15,Gold Bank,10.2505
ATM_SEEF_01,COMP_GOLD_16,Gold Bank,27.3907
ATM_SEEF_01,COMP_GOLD_17,Gold Bank,8.8588
ATM_SEEF_01,COMP_GOLD_18,Gold Bank,15.7864
ATM_SEEF_01,COMP_GREEN_01,Green Bank,5.2547
ATM_SEEF_01,COMP_GREEN_02,Green Bank,9.4048
ATM_SEEF_01,COMP_GREEN_03,Green Bank,13.7951
ATM_SEEF_01,COMP_GREEN_04,Green Bank,12.1393
ATM_SEEF_01,COMP_GREEN_05,Green Bank,5.2115
ATM_SEEF_01,COMP_GREEN_06,Green Bank,12.3288
ATM_SEEF_01,COMP_GREEN_07,Green Bank,2.3159
ATM_SEEF_01,COMP_GREEN_08,Green Bank,32.7103
ATM_SEEF_01,COMP_GREEN_09,Green Bank,0.4953
ATM_SEEF_01,COMP_GREEN_10,Green Bank,13.9767
ATM_SEEF_01,COMP_GREEN_11,Green Bank,7.1108
ATM_SEEF_01,COMP_GREEN_12,Green Bank,29.8384
ATM_SEEF_01,COMP_GREEN_13,Green Bank,6.3496
ATM_SEEF_01,COMP_GREEN_14,Green Bank,8.6633
ATM_SEEF_01,COMP_GREEN_15,Green Bank,4.2745
ATM_SEEF_01,COMP_GREEN_16,Green Bank,17.1394
ATM_SEEF_01,COMP_PURPLE_01,Purple Bank,5.3976
ATM_SEEF_01,COMP_PURPLE_02,Purple Bank,15.2837
ATM_SEEF_01,COMP_PURPLE_03,Purple Bank,8.1327
ATM_SEEF_01,COMP_PURPLE_04,Purple Bank,33.2397
ATM_SEEF_01,COMP_PURPLE_05,Purple Bank,7.6248
ATM_SEEF_01,COMP_PURPLE_06,Purple Bank,15.0353
ATM_SEEF_01,COMP_PURPLE_07,Purple Bank,13.7144
ATM_SEEF_01,COMP_PURPLE_08,Purple Bank,23.2465
ATM_SEEF_01,COMP_PURPLE_09,Purple Bank,4.1282
ATM_SEEF_01,COMP_PURPLE_10,Purple Bank,10.1318
ATM_SEEF_01,COMP_PURPLE_11,Purple Bank,0.7011
ATM_SEEF_01,COMP_PURPLE_12,Purple Bank,36.3562
ATM_SEEF_01,COMP_PURPLE_13,Purple Bank,8.2511
ATM_SEEF_01,COMP_TEAL_01,Teal Bank,3.982
ATM_SEEF_01,COMP_TEAL_02,Teal Bank,8.1517
ATM_SEEF_01,COMP_TEAL_03,Teal Bank,3.8182
ATM_SEEF_01,COMP_TEAL_04,Teal Bank,32.2667
ATM_SEEF_01,COMP_TEAL_05,Teal Bank,2.5626
ATM_SEEF_01,COMP_TEAL_06,Teal Bank,10.8163
ATM_SEEF_01,COMP_TEAL_07,Teal Bank,10.6343
ATM_SEEF_01,COMP_TEAL_08,Teal Bank,33.4421
ATM_SEEF_01,COMP_TEAL_09,Teal Bank,8.9471
ATM_SEEF_01,COMP_TEAL_10,Teal Bank,14.5291
ATM_SEEF_01,COMP_TEAL_11,Teal Bank,5.1593
ATM_SEEF_01,COMP_TEAL_12,Teal Bank,33.8683
ATM_SEEF_01,COMP_TEAL_13,Teal Bank,5.5766
ATM_AALI_01,COMP_RED_01,Red Bank,4.7362
ATM_AALI_01,COMP_RED_02,Red Bank,15.1261
ATM_AALI_01,COMP_RED_03,Red Bank,8.2819
ATM_AALI_01,COMP_RED_04,Red Bank,21.6458
ATM_AALI_01,COMP_RED_05,Red Bank,2.0169
ATM_AALI_01,COMP_RED_06,Red Bank,9.8144
ATM_AALI_01,COMP_RED_07,Red Bank,3.153
ATM_AALI_01,COMP_RED_08,Red Bank,17.3879
ATM_AALI_01,COMP_RED_09,Red Bank,10.4381
ATM_AALI_01,COMP_RED_10,Red Bank,12.9193
ATM_AALI_01,COMP_RED_11,Red Bank,1.621
ATM_AALI_01,COMP_RED_12,Red Bank,30.751
ATM_AALI_01,COMP_RED_13,Red Bank,5.2102
ATM_AALI_01,COMP_RED_14,Red Bank,13.5044
ATM_AALI_01,COMP_RED_15,Red Bank,2.2146
ATM_AALI_01,COMP_RED_16,Red Bank,31.7385
ATM_AALI_01,COMP_RED_17,Red Bank,10.1537
ATM_AALI_01,COMP_RED_18,Red Bank,14.1154
ATM_AALI_01,COMP_RED_19,Red Bank,4.7094
ATM_AALI_01,COMP_RED_20,Red Bank,10.1102
ATM_AALI_01,COMP_RED_21,Red Bank,7.1508
ATM_AALI_01,COMP_RED_22,Red Bank,11.4966
ATM_AALI_01,COMP_GOLD_01,Gold Bank,6.2636
ATM_AALI_01,COMP_GOLD_02,Gold Bank,9.7155
ATM_AALI_01,COMP_GOLD_03,Gold Bank,2.1408
ATM_AALI_01,COMP_GOLD_04,Gold Bank,15.215
ATM_AALI_01,COMP_GOLD_05,Gold Bank,6.2092
ATM_AALI_01,COMP_GOLD_06,Gold Bank,10.6285
ATM_AALI_01,COMP_GOLD_07,Gold Bank,8.6196
ATM_AALI_01,COMP_GOLD_08,Gold Bank,24.5045
ATM_AALI_01,COMP_GOLD_09,Gold Bank,2.7951
ATM_AALI_01,COMP_GOLD_10,Gold Bank,15.6548
ATM_AALI_01,COMP_GOLD_11,Gold Bank,5.6133
ATM_AALI_01,COMP_GOLD_12,Gold Bank,26.2039
ATM_AALI_01,COMP_GOLD_13,Gold Bank,8.6708
ATM_AALI_01,COMP_GOLD_14,Gold Bank,12.0161
ATM_AALI_01,COMP_GOLD_15,Gold Bank,9.3594
ATM_AALI_01,COMP_GOLD_16,Gold Bank,26.0875
ATM_AALI_01,COMP_GOLD_17,Gold Bank,10.3976
ATM_AALI_01,COMP_GOLD_18,Gold Bank,17.3892
ATM_AALI_01,COMP_GREEN_01,Green Bank,6.0317
ATM_AALI_01,COMP_GREEN_02,Green Bank,11.1427
ATM_AALI_01,COMP_GREEN_03,Green Bank,12.2865
ATM_AALI_01,COMP_GREEN_04,Green Bank,10.6544
ATM_AALI_01,COMP_GREEN_05,Green Bank,6.953
ATM_AALI_01,COMP_GREEN_06,Green Bank,13.913
ATM_AALI_01,COMP_GREEN_07,Green Bank,2.0361
ATM_AALI_01,COMP_GREEN_08,Green Bank,31.7144
ATM_AALI_01,COMP_GREEN_09,Green Bank,1.7025
ATM_AALI_01,COMP_GREEN_10,Green Bank,15.6478
ATM_AALI_01,COMP_GREEN_11,Green Bank,6.0244
ATM_AALI_01,COMP_GREEN_12,Green Bank,28.6167
ATM_AALI_01,COMP_GREEN_13,Green Bank,7.2084
ATM_AALI_01,COMP_GREEN_14,Green Bank,10.3377
ATM_AALI_01,COMP_GREEN_15,Green Bank,4.2763
ATM_AALI_01,COMP_GREEN_16,Green Bank,15.5295
ATM_AALI_01,COMP_PURPLE_01,Purple Bank,6.9222
ATM_AALI_01,COMP_PURPLE_02,Purple Bank,16.9213
ATM_AALI_01,COMP_PURPLE_03,Purple Bank,6.4942
ATM_AALI_01,COMP_PURPLE_04,Purple Bank,32.3798
ATM_AALI_01,COMP_PURPLE_05,Purple Bank,9.0305
ATM_AALI_01,COMP_PURPLE_06,Purple Bank,16.7533
ATM_AALI_01,COMP_PURPLE_07,Purple Bank,12.0276
ATM_AALI_01,COMP_PURPLE_08,Purple Bank,22.6313
ATM_AALI_01,COMP_PURPLE_09,Purple Bank,5.7849
ATM_AALI_01,COMP_PURPLE_10,Purple Bank,11.8295
ATM_AALI_01,COMP_PURPLE_11,Purple Bank,1.1998
ATM_AALI_01,COMP_PURPLE_12,Purple Bank,35.267
ATM_AALI_01,COMP_PURPLE_13,Purple Bank,9.1038
ATM_AALI_01,COMP_TEAL_01,Teal Bank,4.958
ATM_AALI_01,COMP_TEAL_02,Teal Bank,9.7494
ATM_AALI_01,COMP_TEAL_03,Teal Bank,3.0305
ATM_AALI_01,COMP_TEAL_04,Teal Bank,31.4082
ATM_AALI_01,COMP_TEAL_05,Teal Bank,4.3012
ATM_AALI_01,COMP_TEAL_06,Teal Bank,12.5351
ATM_AALI_01,COMP_TEAL_07,Teal Bank,8.8894
ATM_AALI_01,COMP_TEAL_08,Teal Bank,32.4998
ATM_AALI_01,COMP_TEAL_09,Teal Bank,10.357
ATM_AALI_01,COMP_TEAL_10,Teal Bank,16.1002
ATM_AALI_01,COMP_TEAL_11,Teal Bank,3.4294
ATM_AALI_01,COMP_TEAL_12,Teal Bank,32.6174
ATM_AALI_01,COMP_TEAL_13,Teal Bank,7.3092
ATM_BMALL_01,COMP_RED_01,Red Bank,8.4103
ATM_BMALL_01,COMP_RED_02,Red Bank,18.6785
ATM_BMALL_01,COMP_RED_03,Red Bank,7.568
ATM_BMALL_01,COMP_RED_04,Red Bank,23.3542
ATM_BMALL_01,COMP_RED_05,Red Bank,5.6903
ATM_BMALL_01,COMP_RED_06,Red Bank,13.2832
ATM_BMALL_01,COMP_RED_07,Red Bank,1.4892
ATM_BMALL_01,COMP_RED_08,Red Bank,17.922
ATM_BMALL_01,COMP_RED_09,Red Bank,14.1702
ATM_BMALL_01,COMP_RED_10,Red Bank,16.2591
ATM_BMALL_01,COMP_RED_11,Red Bank,5.3012
ATM_BMALL_01,COMP_RED_12,Red Bank,31.7046
ATM_BMALL_01,COMP_RED_13,Red Bank,8.9059
ATM_BMALL_01,COMP_RED_14,Red Bank,16.2181
ATM_BMALL_01,COMP_RED_15,Red Bank,5.7446
ATM_BMALL_01,COMP_RED_16,Red Bank,33.515
ATM_BMALL_01,COMP_RED_17,Red Bank,13.2153
ATM_BMALL_01,COMP_RED_18,Red Bank,16.9683
ATM_BMALL_01,COMP_RED_19,Red Bank,3.6155
ATM_BMALL_01,COMP_RED_20,Red Bank,11.5155
ATM_BMALL_01,COMP_RED_21,Red Bank,10.883
ATM_BMALL_01,COMP_RED_22,Red Bank,15.0058
ATM_BMALL_01,COMP_GOLD_01,Gold Bank,8.9435
ATM_BMALL_01,COMP_GOLD_02,Gold Bank,12.942
ATM_BMALL_01,COMP_GOLD_03,Gold Bank,5.7602
ATM_BMALL_01,COMP_GOLD_04,Gold Bank,15.5673
ATM_BMALL_01,COMP_GOLD_05,Gold Bank,9.4037
ATM_BMALL_01,COMP_GOLD_06,Gold Bank,13.711
ATM_BMALL_01,COMP_GOLD_07,Gold Bank,6.5232
ATM_BMALL_01,COMP_GOLD_08,Gold Bank,24.9573
ATM_BMALL_01,COMP_GOLD_09,Gold Bank,6.3002
ATM_BMALL_01,COMP_GOLD_10,Gold Bank,18.6862
ATM_BMALL_01,COMP_GOLD_11,Gold Bank,2.5962
ATM_BMALL_01,COMP_GOLD_12,Gold Bank,26.4654
ATM_BMALL_01,COMP_GOLD_13,Gold Bank,11.4974
ATM_BMALL_01,COMP_GOLD_14,Gold Bank,15.1587
ATM_BMALL_01,COMP_GOLD_15,Gold Bank,11.4168
ATM_BMALL_01,COMP_GOLD_16,Gold Bank,26.579
ATM_BMALL_01,COMP_GOLD_17,Gold Bank,13.8744
ATM_BMALL_01,COMP_GOLD_18,Gold Bank,20.747
ATM_BMALL_01,COMP_GREEN_01,Green Bank,9.7544
ATM_BMALL_01,COMP_GREEN_02,Green Bank,14.0001
ATM_BMALL_01,COMP_GREEN_03,Green Bank,12.3806
ATM_BMALL_01,COMP_GREEN_04,Green Bank,10.9553
ATM_BMALL_01,COMP_GREEN_05,Green Bank,9.644
ATM_BMALL_01,COMP_GREEN_06,Green Bank,17.3135
ATM_BMALL_01,COMP_GREEN_07,Green Bank,3.0353
